transaction_id,amount,merchant,location,timestamp,card_number,is_fraud
TXN00168,939.35,Shell Gas,"Dallas, TX",2025-10-01T10:15:13,****3973,0
TXN00494,15.0,Home Depot,"San Diego, CA",2025-10-21T21:57:13,****7739,0
TXN00341,15.91,Target,"San Diego, CA",2025-09-29T09:33:13,****9507,0
TXN00458,11.56,Amazon,"Phoenix, AZ",2025-10-07T06:58:13,****7948,0
TXN00460,9.05,Target,"Phoenix, AZ",2025-10-15T01:46:13,****2848,0
TXN00793,82.05,Walmart,"Los Angeles, CA",2025-10-06T13:20:13,****5308,0
TXN00120,168.66,Home Depot,"Los Angeles, CA",2025-09-27T02:30:13,****1508,0
TXN00334,19.77,Home Depot,"San Diego, CA",2025-09-29T10:21:13,****3209,0
TXN00760,156.1,Home Depot,"San Diego, CA",2025-10-12T13:06:13,****7628,0
TXN00722,5.0,Walmart,"San Diego, CA",2025-10-16T02:22:13,****4471,0
TXN00422,759.77,Home Depot,"Houston, TX",2025-09-27T01:12:13,****5676,0
TXN00968,996.07,Crypto Exchange,"Kiev, Ukraine",2025-10-14T09:44:13,****3101,1
TXN00575,189.45,McDonald's,"Los Angeles, CA",2025-09-28T04:44:13,****5055,0
TXN00687,38.07,CVS Pharmacy,"Austin, TX",2025-10-09T09:11:13,****5944,0
TXN00386,68.41,Costco,"San Diego, CA",2025-10-02T03:51:13,****8710,0
TXN00620,76.39,Walmart,"Phoenix, AZ",2025-10-19T10:19:13,****3545,0
TXN00824,31.68,CVS Pharmacy,"Austin, TX",2025-10-10T07:25:13,****2596,0
TXN00491,53.95,Walmart,"Austin, TX",2025-10-20T06:06:13,****3252,0
TXN00642,667.5,CVS Pharmacy,"Dallas, TX",2025-09-27T06:23:13,****1104,0
TXN00307,371.11,Target,"Chicago, IL",2025-10-16T04:43:13,****3712,0
TXN00932,917.58,Shell Gas,"San Jose, CA",2025-10-02T17:42:13,****9706,0
TXN00040,73.35,Best Buy,"Dallas, TX",2025-10-17T06:36:13,****8744,0
TXN00741,5.0,Amazon,"Houston, TX",2025-10-20T09:34:13,****6904,0
TXN00755,13.14,Chevron,"Austin, TX",2025-10-02T08:13:13,****2771,0
TXN00113,59.76,Starbucks,"Austin, TX",2025-09-30T05:46:13,****3704,0
TXN00772,23.48,Target,"Philadelphia, PA",2025-09-24T06:43:13,****2324,0
TXN00177,55.67,Amazon,"Austin, TX",2025-10-02T05:47:13,****3594,0
TXN00287,43.48,Chevron,"Los Angeles, CA",2025-10-12T10:30:13,****1932,0
TXN00538,30.67,Shell Gas,"San Jose, CA",2025-10-06T08:58:13,****9300,0
TXN00622,110.74,Costco,"Jacksonville, FL",2025-10-08T06:38:13,****4909,0
TXN00594,90.06,Amazon,"San Antonio, TX",2025-10-14T22:34:13,****3161,0
TXN00006,38.43,Target,"Jacksonville, FL",2025-10-08T12:23:13,****4527,0
TXN00053,19.78,Target,"Los Angeles, CA",2025-10-02T15:37:13,****4853,0
TXN00758,72.04,Best Buy,"Chicago, IL",2025-10-05T05:35:13,****1930,0
TXN00305,52.91,Chevron,"Dallas, TX",2025-09-25T05:59:13,****1618,0
TXN00027,9.71,Chevron,"Chicago, IL",2025-10-05T02:37:13,****5889,0
TXN00087,215.53,Apple Store,"Philadelphia, PA",2025-09-30T04:46:13,****5920,0
TXN00580,303.58,Costco,"San Jose, CA",2025-10-04T13:47:13,****5794,0
TXN00725,70.55,CVS Pharmacy,"Los Angeles, CA",2025-10-19T11:07:13,****6343,0
TXN00463,19.11,Apple Store,"Austin, TX",2025-09-29T04:17:13,****1724,0
TXN00660,43.97,Walmart,"San Diego, CA",2025-10-18T05:24:13,****2989,0
TXN00200,9.83,Target,"Chicago, IL",2025-10-19T08:08:13,****4945,0
TXN00540,22.98,Apple Store,"Austin, TX",2025-09-22T14:43:13,****5067,0
TXN00944,47.05,Target,"Philadelphia, PA",2025-10-04T09:16:13,****6024,0
TXN00496,122.53,Amazon,"Dallas, TX",2025-09-25T07:05:13,****3937,0
TXN00892,116.85,Starbucks,"Chicago, IL",2025-09-30T08:26:13,****5671,0
TXN00839,239.0,Costco,"Jacksonville, FL",2025-10-04T04:47:13,****4560,0
TXN00149,119.45,Amazon,"San Jose, CA",2025-10-12T10:04:13,****6582,0
TXN00451,49.7,Apple Store,"Los Angeles, CA",2025-10-20T10:48:13,****2044,0
TXN00715,51.6,Shell Gas,"New York, NY",2025-10-13T10:16:13,****4706,0
TXN00246,33.06,McDonald's,"San Jose, CA",2025-10-05T12:00:13,****8048,0
TXN00883,26.2,Chevron,"Phoenix, AZ",2025-09-21T08:13:13,****7113,0
TXN00067,49.01,Amazon,"Philadelphia, PA",2025-09-27T14:16:13,****3647,0
TXN00064,9.08,Costco,"Phoenix, AZ",2025-10-02T13:11:13,****4335,0
TXN00943,144.79,Home Depot,"San Antonio, TX",2025-09-27T12:57:13,****8904,0
TXN00189,15.33,McDonald's,"Austin, TX",2025-09-26T05:23:13,****9115,0
TXN00882,24.62,Shell Gas,"Chicago, IL",2025-10-04T12:45:13,****7406,0
TXN00887,131.09,Best Buy,"San Antonio, TX",2025-09-23T08:00:13,****3333,0
TXN00322,133.32,Walmart,"New York, NY",2025-10-13T13:23:13,****9991,0
TXN00400,349.58,CVS Pharmacy,"Jacksonville, FL",2025-10-01T19:02:13,****5350,0
TXN00236,141.3,Target,"Chicago, IL",2025-10-04T13:21:13,****2801,0
TXN00264,11.74,Target,"Philadelphia, PA",2025-10-12T06:43:13,****2391,0
TXN00229,18.67,Amazon,"Jacksonville, FL",2025-10-10T13:04:13,****4868,0
TXN00699,218.34,McDonald's,"San Diego, CA",2025-09-28T11:22:13,****7783,0
TXN00716,285.7,Costco,"San Jose, CA",2025-10-20T13:48:13,****2584,0
TXN00354,42.95,McDonald's,"Dallas, TX",2025-10-18T13:16:13,****8311,0
TXN00037,74.69,Starbucks,"New York, NY",2025-10-03T08:55:13,****4608,0
TXN00574,39.3,Chevron,"New York, NY",2025-09-27T06:58:13,****4580,0
TXN00101,6.53,Shell Gas,"San Jose, CA",2025-09-25T07:00:13,****7991,0
TXN00886,871.37,Costco,"Houston, TX",2025-09-28T05:46:13,****6633,0
TXN00089,24.66,Chevron,"Chicago, IL",2025-10-15T11:08:13,****3851,0
TXN00489,685.89,CVS Pharmacy,"Philadelphia, PA",2025-10-16T13:58:13,****9000,0
TXN00857,15.67,Walmart,"San Antonio, TX",2025-10-20T10:57:13,****5329,0
TXN00796,265.0,Starbucks,"Houston, TX",2025-10-21T21:27:13,****2809,0
TXN00766,19.02,CVS Pharmacy,"Phoenix, AZ",2025-10-08T06:11:13,****7089,0
TXN00869,146.62,Starbucks,"Dallas, TX",2025-09-26T10:01:13,****1718,0
TXN00953,745.29,Apple Store,"Dallas, TX",2025-09-29T17:18:13,****3776,1
TXN00206,13.37,Walmart,"Houston, TX",2025-10-09T08:56:13,****5847,0
TXN00213,228.38,Shell Gas,"New York, NY",2025-10-03T11:24:13,****2476,0
TXN00668,521.12,Target,"Phoenix, AZ",2025-10-13T10:23:13,****1567,0
TXN00679,222.19,Starbucks,"Chicago, IL",2025-10-16T13:12:13,****6878,0
TXN00936,25.71,McDonald's,"Philadelphia, PA",2025-10-03T04:34:13,****2600,0
TXN00170,17.63,Starbucks,"San Antonio, TX",2025-10-11T12:26:13,****3634,0
TXN00390,22.98,Walmart,"San Antonio, TX",2025-10-05T09:57:13,****5582,0
TXN00776,5.18,Target,"San Jose, CA",2025-10-08T08:07:13,****8029,0
TXN00501,219.04,Walmart,"San Antonio, TX",2025-10-09T11:02:13,****1919,0
TXN00244,200.06,Walmart,"Los Angeles, CA",2025-10-11T08:28:13,****3067,0
TXN00371,56.64,Target,"Austin, TX",2025-10-02T06:54:13,****6531,0
TXN00428,152.79,Costco,"San Diego, CA",2025-10-01T09:01:13,****3198,0
TXN00446,149.08,Target,"Chicago, IL",2025-10-11T05:04:13,****2904,0
TXN00646,36.27,Amazon,"Chicago, IL",2025-09-29T12:30:13,****4792,0
TXN00759,15.07,Apple Store,"San Antonio, TX",2025-09-30T12:24:13,****1417,0
TXN00018,87.48,Best Buy,"Austin, TX",2025-10-06T10:34:13,****8517,0
TXN00812,28.23,Home Depot,"Philadelphia, PA",2025-10-05T08:48:13,****2560,0
TXN00773,140.98,Shell Gas,"Philadelphia, PA",2025-10-01T00:12:13,****1950,0
TXN00802,25.18,Amazon,"Chicago, IL",2025-09-30T08:11:13,****6857,0
TXN00173,48.64,Walmart,"San Antonio, TX",2025-09-24T10:32:13,****9889,0
TXN00328,179.02,Target,"Austin, TX",2025-09-30T15:09:13,****2108,0
TXN00363,46.38,Costco,"San Antonio, TX",2025-09-29T06:59:13,****7730,0
TXN00271,474.33,Costco,"Phoenix, AZ",2025-10-11T14:01:13,****8055,0
TXN00401,5.0,Home Depot,"San Jose, CA",2025-10-03T13:29:13,****8871,0
TXN00153,19.69,Best Buy,"Los Angeles, CA",2025-10-04T05:54:13,****4697,0
TXN00417,559.32,Target,"Los Angeles, CA",2025-10-02T06:17:13,****4972,0
TXN00992,2619.88,Shell Gas,"Dallas, TX",2025-10-04T19:04:13,****3213,1
TXN00442,51.99,Shell Gas,"Dallas, TX",2025-09-26T08:19:13,****5054,0
TXN00218,38.27,Home Depot,"Jacksonville, FL",2025-09-29T23:38:13,****6992,0
TXN00216,170.45,Costco,"San Diego, CA",2025-09-21T04:45:13,****6549,0
TXN00695,132.91,CVS Pharmacy,"Los Angeles, CA",2025-10-14T12:12:13,****3750,0
TXN00274,55.44,McDonald's,"New York, NY",2025-10-07T02:37:13,****6129,0
TXN00471,36.14,McDonald's,"Chicago, IL",2025-10-12T10:44:13,****9813,0
TXN00561,84.32,Home Depot,"Jacksonville, FL",2025-09-26T11:53:13,****2388,0
TXN00840,39.61,Best Buy,"Houston, TX",2025-10-02T06:49:13,****6657,0
TXN00077,62.21,Best Buy,"Houston, TX",2025-09-25T03:10:13,****6000,0
TXN00429,267.1,Chevron,"San Diego, CA",2025-10-13T13:25:13,****6417,0
TXN00148,7.53,CVS Pharmacy,"Chicago, IL",2025-10-01T04:01:13,****2680,0
TXN00973,4796.78,Home Depot,"Kiev, Ukraine",2025-10-06T17:05:13,****4449,1
TXN00747,72.25,Target,"San Jose, CA",2025-09-27T00:38:13,****4626,0
TXN00435,519.85,McDonald's,"Houston, TX",2025-10-07T06:11:13,****5947,0
TXN00090,117.91,Apple Store,"San Jose, CA",2025-10-12T10:39:13,****1006,0
TXN00522,123.35,CVS Pharmacy,"Dallas, TX",2025-09-22T23:17:13,****9537,0
TXN00685,8.73,Starbucks,"New York, NY",2025-10-21T13:47:13,****3320,0
TXN00048,266.58,McDonald's,"New York, NY",2025-10-16T11:08:13,****5345,0
TXN00903,57.0,Chevron,"Phoenix, AZ",2025-10-04T03:58:13,****8734,0
TXN00897,42.49,Costco,"Philadelphia, PA",2025-10-17T07:11:13,****8863,0
TXN00143,5.0,Walmart,"Jacksonville, FL",2025-10-15T11:45:13,****9779,0
TXN00996,2047.48,Online Casino,"New York, NY",2025-09-22T00:01:13,****8816,1
TXN00474,424.25,Target,"San Antonio, TX",2025-10-14T13:11:13,****2295,0
TXN00072,548.43,Starbucks,"Houston, TX",2025-09-30T13:26:13,****6794,0
TXN00823,1717.02,Amazon,"Houston, TX",2025-09-24T09:57:13,****8751,0
TXN00731,73.24,Amazon,"San Antonio, TX",2025-09-23T03:48:13,****4892,0
TXN00981,5457.63,McDonald's,"San Jose, CA",2025-10-01T03:51:13,****9821,1
TXN00179,36.71,Walmart,"San Diego, CA",2025-09-21T13:39:13,****3522,0
TXN00590,15.12,Shell Gas,"Phoenix, AZ",2025-10-11T05:11:13,****9967,0
TXN00979,4508.27,Chevron,"San Diego, CA",2025-10-18T02:04:13,****6483,1
TXN00318,34.28,Chevron,"Philadelphia, PA",2025-10-14T11:27:13,****7142,0
TXN00349,18.58,Amazon,"Chicago, IL",2025-10-19T12:51:13,****7001,0
TXN00947,5.54,Walmart,"Houston, TX",2025-10-05T11:11:13,****1852,0
TXN00122,13.96,Target,"San Diego, CA",2025-09-30T15:19:13,****8619,0
TXN00647,5.0,Chevron,"San Antonio, TX",2025-09-29T04:03:13,****2391,0
TXN00301,15.74,Home Depot,"Jacksonville, FL",2025-09-25T01:49:13,****9624,0
TXN00578,173.52,CVS Pharmacy,"San Jose, CA",2025-10-01T10:53:13,****3281,0
TXN00368,55.64,Starbucks,"Dallas, TX",2025-09-23T12:27:13,****5105,0
TXN00309,124.05,Shell Gas,"San Jose, CA",2025-10-12T05:42:13,****8355,0
TXN00961,3546.11,Cash Advance,"Austin, TX",2025-09-21T09:10:13,****9462,1
TXN00002,44.37,Target,"Jacksonville, FL",2025-10-18T06:35:13,****9935,0
TXN00999,1180.9,Target,Unknown Location,2025-10-14T01:59:13,****5454,1
TXN00194,8.43,Home Depot,"Dallas, TX",2025-10-09T01:52:13,****8994,0
TXN00128,23.35,Apple Store,"New York, NY",2025-10-10T08:50:13,****7071,0
TXN00118,9.46,Costco,"San Antonio, TX",2025-10-13T05:02:13,****1317,0
TXN00004,536.22,Best Buy,"Dallas, TX",2025-10-02T19:20:13,****9928,0
TXN00927,23.61,Target,"Houston, TX",2025-09-25T11:23:13,****3979,0
TXN00408,44.1,Target,"San Diego, CA",2025-09-22T08:58:13,****6804,0
TXN00396,27.01,Apple Store,"Philadelphia, PA",2025-10-16T10:53:13,****5902,0
TXN00922,11.71,Home Depot,"San Antonio, TX",2025-10-21T13:24:13,****3639,0
TXN00623,918.77,Amazon,"Houston, TX",2025-10-19T03:25:13,****8428,0
TXN00315,386.92,Walmart,"Phoenix, AZ",2025-10-19T06:15:13,****8361,0
TXN00490,204.89,Target,"Dallas, TX",2025-10-01T01:59:13,****1554,0
TXN00300,140.39,Costco,"Dallas, TX",2025-10-09T08:11:13,****3093,0
TXN00304,136.4,Best Buy,"Houston, TX",2025-10-17T14:14:13,****2657,0
TXN00592,26.67,Home Depot,"New York, NY",2025-10-20T14:42:13,****8529,0
TXN00115,40.91,Apple Store,"San Jose, CA",2025-09-30T18:51:13,****8022,0
TXN00777,18.34,Shell Gas,"San Antonio, TX",2025-10-21T18:20:13,****7112,0
TXN00250,100.23,Home Depot,"Phoenix, AZ",2025-10-10T01:49:13,****8770,0
TXN00619,112.34,Walmart,"Austin, TX",2025-10-04T09:23:13,****5546,0
TXN00794,8.04,Chevron,"Houston, TX",2025-10-10T07:14:13,****3627,0
TXN00108,70.94,Shell Gas,"San Antonio, TX",2025-10-20T13:06:13,****7381,0
TXN00959,2143.74,McDonald's,"San Jose, CA",2025-09-27T18:17:13,****6565,1
TXN00456,16.62,Target,"Austin, TX",2025-09-24T12:21:13,****9802,0
TXN00894,315.43,Starbucks,"San Jose, CA",2025-09-30T11:55:13,****3496,0
TXN00905,72.72,Target,"San Diego, CA",2025-10-05T10:07:13,****6961,0
TXN00038,5.0,Amazon,"Los Angeles, CA",2025-09-29T08:18:13,****2104,0
TXN00669,5.0,Apple Store,"San Jose, CA",2025-10-02T13:14:13,****9173,0
TXN00612,50.23,Costco,"Austin, TX",2025-10-20T05:42:13,****4921,0
TXN00394,851.66,Amazon,"Chicago, IL",2025-09-29T12:02:13,****9508,0
TXN00145,80.63,CVS Pharmacy,"San Jose, CA",2025-09-27T09:14:13,****2647,0
TXN00277,73.6,Apple Store,"San Diego, CA",2025-09-25T07:09:13,****2443,0
TXN00878,76.38,Amazon,"San Antonio, TX",2025-09-30T14:32:13,****2036,0
TXN00757,114.43,Costco,"Phoenix, AZ",2025-10-01T06:35:13,****5895,0
TXN00466,39.19,Apple Store,"San Jose, CA",2025-09-27T07:12:13,****4881,0
TXN00284,8.53,Shell Gas,"San Jose, CA",2025-09-27T08:49:13,****6295,0
TXN00486,6.47,Costco,"Chicago, IL",2025-10-15T12:08:13,****5026,0
TXN00355,53.06,Best Buy,"San Jose, CA",2025-10-12T07:01:13,****4279,0
TXN00791,104.0,Home Depot,"Los Angeles, CA",2025-09-30T08:53:13,****3247,0
TXN00551,62.17,Amazon,"Philadelphia, PA",2025-10-01T14:41:13,****3692,0
TXN00492,502.66,Home Depot,"Houston, TX",2025-10-19T07:32:13,****4583,0
TXN00566,29.6,Chevron,"Chicago, IL",2025-10-06T12:21:13,****6154,0
TXN01000,2015.68,Chevron,"Phoenix, AZ",2025-10-15T17:38:13,****2121,1
TXN00846,114.28,Home Depot,"New York, NY",2025-10-15T11:42:13,****3636,0
TXN00965,778.98,Best Buy,"Houston, TX",2025-10-10T17:23:13,****2747,1
TXN00135,13.75,Amazon,"San Diego, CA",2025-09-24T12:01:13,****4475,0
TXN00915,47.33,Chevron,"Phoenix, AZ",2025-10-09T01:18:13,****9460,0
TXN00656,59.67,Home Depot,"Phoenix, AZ",2025-09-25T06:54:13,****1660,0
TXN00366,29.91,Target,"San Antonio, TX",2025-10-05T03:29:13,****3034,0
TXN00324,1259.64,Best Buy,"Phoenix, AZ",2025-10-18T17:06:13,****8489,0
TXN00432,5.0,Target,"San Jose, CA",2025-09-24T08:07:13,****8007,0
TXN00030,35.25,Amazon,"Los Angeles, CA",2025-09-22T10:39:13,****6038,0
TXN00835,51.83,McDonald's,"Austin, TX",2025-10-02T08:12:13,****9259,0
TXN00693,10.79,Target,"San Jose, CA",2025-10-11T02:53:13,****4619,0
TXN00188,48.95,Starbucks,"Jacksonville, FL",2025-10-06T06:41:13,****7246,0
TXN00477,129.65,Walmart,"Houston, TX",2025-09-26T05:46:13,****4555,0
TXN00721,86.63,Chevron,"San Jose, CA",2025-09-23T08:56:13,****3415,0
TXN00507,22.45,Amazon,"Houston, TX",2025-10-03T13:40:13,****7525,0
TXN00762,65.56,Starbucks,"Jacksonville, FL",2025-09-29T12:58:13,****8794,0
TXN00842,150.24,Chevron,"Jacksonville, FL",2025-10-01T12:25:13,****6771,0
TXN00861,74.02,Shell Gas,"San Jose, CA",2025-10-04T10:42:13,****6207,0
TXN00546,16.52,Target,"Philadelphia, PA",2025-10-21T10:14:13,****7815,0
TXN00954,5518.18,Amazon,"Chicago, IL",2025-10-13T19:43:13,****7544,1
TXN00785,126.43,CVS Pharmacy,"New York, NY",2025-10-03T10:25:13,****7006,0
TXN00516,169.54,CVS Pharmacy,"Austin, TX",2025-10-17T06:12:13,****6909,0
TXN00798,151.75,Walmart,"Jacksonville, FL",2025-09-28T15:16:13,****4787,0
TXN00916,82.97,McDonald's,"Philadelphia, PA",2025-09-25T04:01:13,****8898,0
TXN00600,96.15,Amazon,"New York, NY",2025-09-29T12:25:13,****7919,0
TXN00549,95.27,Starbucks,"San Diego, CA",2025-10-18T09:48:13,****8412,0
TXN00935,105.64,Amazon,"Jacksonville, FL",2025-10-05T10:41:13,****8899,0
TXN00231,18.26,Amazon,"San Antonio, TX",2025-10-13T13:25:13,****8450,0
TXN00166,101.41,Best Buy,"Austin, TX",2025-09-25T04:55:13,****1339,0
TXN00505,20.57,Costco,"New York, NY",2025-09-22T15:33:13,****5593,0
TXN00804,27.29,Starbucks,"Chicago, IL",2025-10-18T11:03:13,****5453,0
TXN00727,56.13,McDonald's,"Los Angeles, CA",2025-10-08T13:56:13,****2641,0
TXN00962,7905.73,Chevron,"Houston, TX",2025-10-19T13:07:13,****6603,1
TXN00606,911.59,Home Depot,"Jacksonville, FL",2025-10-17T02:53:13,****8248,0
TXN00602,13.69,CVS Pharmacy,"Los Angeles, CA",2025-10-18T11:36:13,****5902,0
TXN00047,27.36,Walmart,"Houston, TX",2025-10-16T11:02:13,****4502,0
TXN00296,19.31,Walmart,"Philadelphia, PA",2025-10-18T09:08:13,****5655,0
TXN00238,72.22,Apple Store,"Philadelphia, PA",2025-10-21T14:29:13,****3076,0
TXN00503,6.7,Home Depot,"Philadelphia, PA",2025-10-03T00:26:13,****9653,0
TXN00447,94.62,Home Depot,"Houston, TX",2025-09-29T09:27:13,****9361,0
TXN00582,29.28,Target,"San Antonio, TX",2025-09-22T16:15:13,****3078,0
TXN00151,79.5,Walmart,"San Antonio, TX",2025-10-06T15:52:13,****1878,0
TXN00513,38.15,Best Buy,"Philadelphia, PA",2025-10-04T02:05:13,****4043,0
TXN00086,25.72,Starbucks,"San Antonio, TX",2025-10-19T01:34:13,****6409,0
TXN00713,24.11,Shell Gas,"San Diego, CA",2025-09-23T08:27:13,****9914,0
TXN00147,8.54,CVS Pharmacy,"Dallas, TX",2025-10-17T12:29:13,****5786,0
TXN00360,15.79,Starbucks,"Dallas, TX",2025-10-14T14:20:13,****3275,0
TXN00899,333.54,Target,"Austin, TX",2025-10-02T15:15:13,****3293,0
TXN00226,279.62,Shell Gas,"Philadelphia, PA",2025-09-30T01:48:13,****9850,0
TXN00995,1224.19,Costco,"Chicago, IL",2025-10-21T19:32:13,****9574,1
TXN00613,83.09,Shell Gas,"San Antonio, TX",2025-10-18T12:52:13,****2163,0
TXN00026,64.48,Walmart,"Phoenix, AZ",2025-10-08T14:32:13,****5315,0
TXN00265,37.38,Amazon,"Chicago, IL",2025-10-16T06:29:13,****2336,0
TXN00770,827.72,Chevron,"Phoenix, AZ",2025-10-08T15:38:13,****3470,0
TXN00730,16.99,Amazon,"Chicago, IL",2025-10-13T10:53:13,****7581,0
TXN00455,24.65,McDonald's,"Los Angeles, CA",2025-09-30T00:37:13,****9835,0
TXN00560,29.04,Apple Store,"Los Angeles, CA",2025-10-10T11:03:13,****3826,0
TXN00978,902.73,Apple Store,"New York, NY",2025-10-18T17:48:13,****3676,1
TXN00266,8.4,Costco,"San Diego, CA",2025-09-30T10:54:13,****8242,0
TXN00904,371.55,Home Depot,"Chicago, IL",2025-10-10T10:35:13,****5767,0
TXN00667,37.25,Amazon,"San Antonio, TX",2025-09-30T11:10:13,****4517,0
TXN00234,20.54,Walmart,"Dallas, TX",2025-10-15T08:40:13,****4817,0
TXN00232,75.54,Walmart,"Austin, TX",2025-10-15T07:54:13,****1349,0
TXN00469,24.64,Home Depot,"Austin, TX",2025-10-08T09:29:13,****6642,0
TXN00659,73.49,Amazon,"San Antonio, TX",2025-09-24T09:45:13,****5093,0
TXN00792,74.55,McDonald's,"Los Angeles, CA",2025-10-05T07:25:13,****5631,0
TXN00379,1457.83,McDonald's,"Chicago, IL",2025-09-27T10:57:13,****2739,0
TXN00275,12.53,Apple Store,"San Antonio, TX",2025-10-03T10:52:13,****7843,0
TXN00293,22.55,CVS Pharmacy,"San Diego, CA",2025-10-07T08:53:13,****3600,0
TXN00413,5.47,Costco,"Los Angeles, CA",2025-10-03T07:08:13,****7464,0
TXN00161,12.65,McDonald's,"Los Angeles, CA",2025-10-04T13:23:13,****5352,0
TXN00518,12.6,Costco,"Los Angeles, CA",2025-10-17T15:05:13,****8353,0
TXN00836,77.58,McDonald's,"San Antonio, TX",2025-10-02T02:44:13,****5067,0
TXN00208,118.0,Costco,"New York, NY",2025-10-03T04:43:13,****1803,0
TXN00782,7.37,CVS Pharmacy,"Dallas, TX",2025-10-02T09:05:13,****3192,0
TXN00694,137.54,Home Depot,"San Jose, CA",2025-10-18T02:23:13,****6425,0
TXN00448,13.33,Shell Gas,"New York, NY",2025-10-07T14:06:13,****8484,0
TXN00167,187.37,Home Depot,"Phoenix, AZ",2025-10-03T17:44:13,****3870,0
TXN00439,5.0,CVS Pharmacy,"Los Angeles, CA",2025-10-01T03:14:13,****7021,0
TXN00225,26.9,Walmart,"Los Angeles, CA",2025-10-14T04:24:13,****7367,0
TXN00091,63.16,Costco,"Phoenix, AZ",2025-10-15T10:55:13,****6279,0
TXN00034,11.17,Costco,"Dallas, TX",2025-09-24T08:19:13,****9835,0
TXN00980,1210.69,Chevron,"Dallas, TX",2025-10-10T19:31:13,****7746,1
